Date,Origin,Residence permit,Male,Female
2005-12-31,America,Right of resid. acc.to EU Law on Freedom of Movem.,2658,4752
2005-12-31,America,Exempted from requirem. to have a residence title,2171,1255
2005-12-31,America,Unlimited settlement permit,39287,48666
2005-12-31,America,Temporary residence permit,42041,49238
2005-12-31,America,Temporary residence permit for education purposes,118,78
2005-12-31,America,Temporary residence permit for employment purposes,109,68
2005-12-31,America,"Temp.res.perm.for reas.of int.law,hum.,pol.reasons",7,9
2005-12-31,America,Temporary residence permit for family reasons,135,259
2005-12-31,America,"Temp.resid.permit f.special reasons,national visas",41672,48824
2005-12-31,America,Application for residence title filed,1307,1407
2005-12-31,America,Temporary suspension of deportation,194,243
2005-12-31,America,Permission to reside,90,68
2005-12-31,America,"No res.title, temp.susp. of dep. or perm.to reside",7529,7261
2005-12-31,Asia,Right of resid. acc.to EU Law on Freedom of Movem.,2269,3384
2005-12-31,Asia,Exempted from requirem. to have a residence title,269,320
2005-12-31,Asia,Unlimited settlement permit,110168,131278
2005-12-31,Asia,Temporary residence permit,209145,217024
2005-12-31,Asia,Temporary residence permit for education purposes,807,579
2005-12-31,Asia,Temporary residence permit for employment purposes,342,127
2005-12-31,Asia,"Temp.res.perm.for reas.of int.law,hum.,pol.reasons",531,414
2005-12-31,Asia,Temporary residence permit for family reasons,774,1340
2005-12-31,Asia,"Temp.resid.permit f.special reasons,national visas",206691,214564
2005-12-31,Asia,Application for residence title filed,6431,5617
2005-12-31,Asia,Temporary suspension of deportation,39308,21500
2005-12-31,Asia,Permission to reside,11565,7278
2005-12-31,Asia,"No res.title, temp.susp. of dep. or perm.to reside",34596,23076
2005-12-31,Australia and Oceania,Right of resid. acc.to EU Law on Freedom of Movem.,177,238
2005-12-31,Australia and Oceania,Exempted from requirem. to have a residence title,35,43
2005-12-31,Australia and Oceania,Unlimited settlement permit,1676,1808
2005-12-31,Australia and Oceania,Temporary residence permit,2801,2460
2005-12-31,Australia and Oceania,Temporary residence permit for education purposes,3,6
2005-12-31,Australia and Oceania,Temporary residence permit for employment purposes,22,7
2005-12-31,Australia and Oceania,Temporary residence permit for family reasons,6,10
2005-12-31,Australia and Oceania,"Temp.resid.permit f.special reasons,national visas",2770,2437
2005-12-31,Australia and Oceania,Application for residence title filed,84,68
2005-12-31,Australia and Oceania,Temporary suspension of deportation,1,2
2005-12-31,Australia and Oceania,"No res.title, temp.susp. of dep. or perm.to reside",462,295
2006-12-31,Europe,Right of resid. acc.to EU Law on Freedom of Movem.,1170370,1047375
2006-12-31,Europe,Exempted from requirem. to have a residence title,6701,5463
2006-12-31,Europe,Unlimited settlement permit,1006825,914407
2006-12-31,Europe,Temporary residence permit,462129,540165
2006-12-31,Europe,Temporary residence permit for education purposes,15147,23276
2006-12-31,Europe,Temporary residence permit for employment purposes,20060,8463
2006-12-31,Europe,"Temp.res.perm.for reas.of int.law,hum.,pol.reasons",32524,32948
2006-12-31,Europe,Temporary residence permit for family reasons,156781,226946
2006-12-31,Europe,"Temp.resid.permit f.special reasons,national visas",237617,248532
2006-12-31,Europe,Application for residence title filed,14883,12292
2006-12-31,Europe,Temporary suspension of deportation,41429,38671
2006-12-31,Europe,Permission to reside,5266,3947
2006-12-31,Europe,"No res.title, temp.susp. of dep. or perm.to reside",60306,44517
2006-12-31,Africa,Right of resid. acc.to EU Law on Freedom of Movem.,2756,1941
2006-12-31,Africa,Exempted from requirem. to have a residence title,417,369
2006-12-31,Africa,Unlimited settlement permit,56029,34166
2006-12-31,Africa,Temporary residence permit,68633,57859
2006-12-31,Africa,Temporary residence permit for education purposes,13816,4424
2006-12-31,Africa,Temporary residence permit for employment purposes,1909,987
2006-12-31,Africa,"Temp.res.perm.for reas.of int.law,hum.,pol.reasons",7031,6751
2006-12-31,Africa,Temporary residence permit for family reasons,23383,26928
